player,ranking,birthday,handedness,nationality,height,turned_pro,prize_money,titles,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Converted,Return Games Won,Return Points Won,Total Points Won,Aces,Double Faults,Break Points Faced,Service Games Played,Break Points Opportunities,Return Games Played
Daniil Medvedev,1,1996-02-11,Right,Russia,198,2014,23350971,13,0.6,0.75,0.52,0.63,0.83,0.66,0.31,0.54,0.42,0.26,0.39,0.52,2718,1103,1777,4017,2544,4029
Novak Djokovic,2,1987-05-22,Right,Serbia,188,2003,154833296,86,0.65,0.74,0.55,0.66,0.86,0.67,0.34,0.55,0.44,0.32,0.42,0.54,6354,2638,5900,14352,10114,13960
Alexander Zverev,3,1997-04-20,Right,Germany,198,2013,30321591,19,0.65,0.75,0.5,0.61,0.82,0.66,0.31,0.51,0.42,0.25,0.38,0.52,3804,1880,2569,5724,3451,5733
Rafael Nadal,4,1986-06-03,Left,Spain,185,2001,127435840,91,0.68,0.72,0.57,0.67,0.86,0.67,0.34,0.55,0.45,0.34,0.42,0.55,3799,2007,6192,14536,10749,14395
Stefanos Tsitsipas,5,1998-08-12,Left,Greece,193,2016,17245082,7,0.62,0.76,0.55,0.65,0.86,0.68,0.29,0.49,0.4,0.21,0.36,0.52,2109,662,1514,3858,1996,3771
Andrey Rublev,6,1997-10-20,Right,Russia,188,2014,10829376,10,0.6,0.74,0.5,0.62,0.81,0.65,0.3,0.54,0.41,0.25,0.39,0.52,1916,829,1800,3617,2238,3629
Matteo Berrettini,7,1996-04-12,Right,Italy,196,2015,9292934,5,0.63,0.78,0.53,0.68,0.87,0.69,0.28,0.47,0.37,0.18,0.35,0.52,1790,365,975,2469,1213,2470
Casper Ruud,8,1998-12-22,Right,Norway,183,2015,5149819,7,0.65,0.71,0.54,0.62,0.83,0.65,0.29,0.51,0.42,0.24,0.37,0.51,812,402,970,2120,1190,2072
Felix Auger-Aliassime,9,2000-08-08,Right,Canada,193,2017,6491063,1,0.64,0.75,0.5,0.63,0.82,0.66,0.3,0.48,0.37,0.2,0.36,0.51,1720,829,1145,2392,1278,2358
Hubert Hurkacz,10,1997-02-11,Right,Poland,196,2015,5535907,4,0.63,0.74,0.51,0.64,0.83,0.66,0.28,0.49,0.38,0.2,0.36,0.51,1411,411,982,2072,1063,2041
Jannik Sinner,11,2001-08-16,Right,Italy,188,2018,4362316,5,0.6,0.71,0.53,0.64,0.81,0.64,0.32,0.52,0.43,0.26,0.4,0.52,575,256,853,1572,950,1566
Cameron Norrie,12,1995-08-23,Left,South Africa,188,2017,5516412,3,0.65,0.7,0.5,0.62,0.79,0.63,0.3,0.51,0.42,0.24,0.38,0.5,915,622,1298,2339,1317,2334
Denis Shapovalov,13,1999-04-15,Left,Israel,185,2017,8725341,1,0.59,0.76,0.51,0.66,0.84,0.66,0.28,0.48,0.38,0.2,0.36,0.51,2025,1293,1499,3171,1640,3163
Diego Schwartzman,14,1992-08-16,Right,Argentina,170,2010,11520408,4,0.62,0.66,0.5,0.57,0.73,0.6,0.34,0.55,0.44,0.32,0.42,0.51,796,1057,2873,4547,3388,4607
Roberto Bautista Agut,15,1988-04-14,Right,Spain,183,2005,15665078,10,0.66,0.7,0.54,0.62,0.8,0.64,0.3,0.53,0.42,0.27,0.4,0.52,1717,1045,3502,6713,4190,6595
Pablo Carreno Busta,16,1991-07-12,Right,Spain,188,2009,12901187,6,0.65,0.69,0.52,0.61,0.79,0.63,0.29,0.52,0.42,0.24,0.38,0.51,1688,754,2810,5070,2984,5074
Reilly Opelka,17,1997-08-28,Right,USA,211,2015,3699911,3,0.64,0.79,0.55,0.68,0.9,0.71,0.2,0.42,0.31,0.1,0.28,0.5,2798,436,617,2031,641,2007
Nikoloz Basilashvili,18,1992-02-23,Right,Georgia,185,2008,7764129,5,0.59,0.68,0.5,0.58,0.73,0.6,0.29,0.5,0.39,0.22,0.37,0.49,1084,1167,2072,3256,1865,3268
Carlos Alcaraz,19,2003-05-05,Right,Spain,185,2018,2207400,2,0.63,0.69,0.54,0.6,0.77,0.63,0.34,0.53,0.43,0.31,0.41,0.52,190,143,419,734,534,738
